Ranking	Team
1	Houston_Cougars
2	Alabama_CrimsonTide
3	Tennessee_Volunteers
4	UCLA_Bruins
5	Purdue_Boilermakers
6	Kansas_Jayhawks
7	SaintMarys_Gaels
8	Connecticut_Huskies
9	Gonzaga_Bulldogs
10	Texas_Longhorns
11	Baylor_Bears
12	Arizona_Wildcats
13	Marquette_GoldenEagles
14	Arkansas_Razorbacks
15	Creighton_Bluejays
16	SanDiegoState_Aztecs
17	KansasState_Wildcats
18	FloridaAtlantic_Owls
19	Kentucky_Wildcats
20	Maryland_Terrapins
21	TCU_HornedFrogs
22	Duke_BlueDevils
23	WestVirginia_Mountaineers
24	TexasA&M_Aggies
25	Xavier_Musketeers
26	BoiseState_Broncos
27	IowaState_Cyclones
28	Indiana_Hoosiers
29	Virginia_Cavaliers
30	UtahState_Aggies
31	MichiganState_Spartans
32	Rutgers_ScarletKnights
33	Iowa_Hawkeyes
34	Miami_Hurricanes
35	Nevada_WolfPack
36	Illinois_FightingIllini
37	Auburn_Tigers
38	Providence_Friars
39	Memphis_Tigers
40	Liberty_Flames
41	Northwestern_Wildcats
42	NorthCarolinaState_Wolfpack
43	OralRoberts_GoldenEagles
44	MississippiState_Bulldogs
45	NorthCarolina_TarHeels
46	SouthernCalifornia_Trojans
47	OklahomaState_Cowboys
48	NewMexico_Lobos
49	Missouri_Tigers
50	TexasTech_RedRaiders
